@relation propA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N100-F100-weka.filters.supervised.instance.Resample-B1.0-S1-Z176.2419006

@attribute cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
33,71,1,32,533,0.142857,0,0.547619,64.75,11,3.875,FALSE
12,11,0,12,42,0,0.944444,0.625,20,2,1,FALSE
6,10,2,4,97,1,0.958333,0.625,47,9,4.5,FALSE
8,13,0,8,53,0,0.941176,0.555556,11.5,1,0.5,FALSE
20,22,1,19,88,0,0.875,0.666667,16,1,0.6,FALSE
13,48,0,13,140,1,0,0.104965,1.957447,1,0.9787,FALSE
11,9,0,11,28,0,0.8,0.666667,13,1,0.5,FALSE
16,16,0,16,63,0,0.857143,0.6,30.5,6,3,FALSE
16,46,1,15,565,1,0.75,0.291667,79.571429,24,4.8571,FALSE
20,30,0,20,119,0,0.857143,0.6,18.333333,1,0.6667,FALSE
16,22,1,15,88,0.4,0.959184,0.555556,19.75,1,0.5,FALSE
25,7,19,6,126,0.5,0,0.75,57,7,3.5,FALSE
16,34,0,16,150,0,0.857143,0.625,73.5,6,3,FALSE
9,13,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
42,65,8,34,448,0,0.903846,0.4,62.571429,1,0.7143,FALSE
9,18,0,9,55,0,0,0.777778,17.333333,1,0.6667,FALSE
16,25,1,15,93,0,0.955556,0.555556,21.75,1,0.5,FALSE
17,35,0,17,157,0,0,0.5,38,3,1.25,FALSE
21,22,0,21,76,0,0.857143,0.666667,11.166667,1,0.6667,FALSE
5,6,0,5,31,1,0.8,0.666667,9,1,0.3333,FALSE
4,1,2,2,1,0,0,1,0,1,1,FALSE
8,14,0,8,51,0,0.857143,0.666667,24.5,4,2,FALSE
15,26,1,14,174,1,0.875,0.625,56.666667,1,0.3333,FALSE
23,38,1,22,175,0,0.978261,0.555556,42,1,0.5,FALSE
13,14,5,8,49,0,0.857143,0.625,23.5,3,1.5,FALSE
12,25,0,12,88,0,0.916667,0.666667,28,2,1,FALSE
22,83,0,22,230,0,0.666667,0.5,75.333333,1,0.6667,FALSE
14,5,8,6,5,0,0,0.45,0,1,1,FALSE
15,15,3,12,55,0,0.934783,0.5,9.6,1,0.6,FALSE
125,28,113,12,160,0.5,0,0.392857,16.555556,4,1.1111,FALSE
13,17,0,13,62,0,0.875,0.666667,10.8,1,0.6,FALSE
14,28,1,13,120,0,0.977778,0.555556,28.25,1,0.5,FALSE
9,11,0,9,41,1,0.5,0.75,19,2,1,FALSE
12,22,0,12,153,1,0.875,0.625,49.666667,6,2,FALSE
16,47,4,12,170,1,0.869565,0.5,20.125,2,0.875,FALSE
0,5,0,0,18,0,0,0,12,0,0,FALSE
3,20,2,1,166,1,0,0.52381,10.428571,2,1,FALSE
13,13,0,13,82,0,0.875,0.625,40,9,4.5,FALSE
