@relation propA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N4-F4-weka.filters.supervised.instance.Resample-B1.0-S1-Z23.45625702-no-replacement

@attribute cbo numeric
@attribute rfc numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
23,37,1,22,220,0,0.852941,0.404762,34.833333,8,2.1667,FALSE
9,13,0,9,43,0,0.92,0.555556,9,1,0.5,FALSE
8,55,0,8,739,0.972973,0.772727,0.444444,99.285714,14,2.8571,FALSE
16,13,0,16,67,0,0.857143,0.625,32.5,7,3.5,FALSE
2,3,1,1,7,0,0.923077,1,2.5,1,0.5,FALSE
7,18,0,7,59,1,0.961538,1,18.333333,5,2,FALSE
16,16,0,16,58,0,0.857143,0.625,28,1,0.5,FALSE
10,20,0,10,71,0,0.979592,0.75,34.5,5,2.5,FALSE
2,11,0,2,36,0,0,0.5,10.333333,2,0.6667,FALSE
9,13,1,8,49,0,0.875,0.625,23.5,4,2,FALSE
16,26,1,15,104,0,0.571429,0.55,24.75,4,1.5,FALSE
20,17,0,20,89,0,0.944444,0.625,43.5,1,0.5,FALSE
9,13,0,9,43,0,0.923077,0.555556,9,1,0.5,FALSE
21,45,0,21,175,0.5,0,0.444444,41.75,7,2,FALSE
1,2,0,1,21,1,1,1,19,0,0,FALSE
9,19,0,9,60,0,0,0.777778,19,1,0.6667,FALSE
5,10,1,4,34,0,1,1,33,0,0,FALSE
6,11,0,6,38,0,0.857143,0.555556,11.333333,3,1.3333,FALSE
8,29,0,8,114,0,0.979167,0.75,56,5,2.5,FALSE
6,15,0,6,96,0,0,0.625,47,9,4.5,FALSE
8,20,0,8,66,0,0.636364,0.444444,9.833333,5,1.3333,FALSE
19,9,1,18,43,0,0.875,0.625,20.5,1,0.5,FALSE
2,9,2,0,61,0.125,0,0.6,9.6,2,1,FALSE
37,34,3,34,287,0,0.944444,0.625,142.5,1,0.5,FALSE
6,8,1,5,22,1,0.90625,0.4375,4.25,1,0.75,FALSE
10,22,0,10,112,0,0.793103,0.642857,14.857143,1,0.8571,FALSE
8,13,0,8,49,0,0.8,0.666667,23.5,1,0.5,FALSE
11,20,1,10,81,0,0.857143,0.666667,39.5,5,2.5,FALSE
13,20,1,12,82,0.4,0.955556,0.555556,18.25,1,0.5,FALSE
13,12,0,13,55,0,0.857143,0.6,26.5,5,2.5,FALSE
8,7,0,8,21,0,0.875,0.625,9.5,1,0.5,FALSE
6,11,0,6,35,0,0.666667,0.4375,7.5,2,1,FALSE
19,15,0,19,103,0,0.857143,0.625,50.5,2,1,FALSE
9,17,0,9,65,0,0,0.416667,20.333333,3,1.3333,FALSE
12,27,0,12,115,0,0,0.5625,27.75,2,1,FALSE
10,12,0,10,78,0,0.857143,0.583333,38,5,2.5,FALSE
19,16,1,18,76,0,0.8,0.666667,37,1,0.5,FALSE
4,7,0,4,16,0,0.903226,0.4375,3,1,0.75,FALSE
29,43,2,27,436,0,0.9375,0.733333,71.166667,1,0.6667,FALSE
6,14,0,6,210,0,0.916667,1,103,3,1.5,FALSE
3,2,1,2,2,0,0,0.833333,0,1,1,FALSE
22,17,1,21,79,0,0.875,0.625,38.5,1,0.5,FALSE
19,60,0,19,614,0,0.444444,0.5,101.333333,2,1,FALSE
5,22,3,3,156,1,0,0.357143,6.047619,2,0.8571,FALSE
5,15,0,5,63,0,0.857143,0.666667,30,3,1.5,FALSE
12,21,0,12,78,0,0.875,0.625,38,7,3.5,FALSE
7,22,2,5,78,0,0,0.375,18.5,7,2.25,FALSE
43,81,0,43,694,0.2,0.666667,0.272727,56.416667,50,7.8333,FALSE
2,17,0,2,76,0.833333,0,0.5,22.333333,1,0.3333,FALSE
6,28,1,6,217,1,0.912281,0.444444,34.666667,4,1.5,FALSE
15,18,0,15,64,0,0.888889,0.666667,11.2,1,0.6,FALSE
23,37,1,22,157,0,0.96,0.555556,37.5,1,0.5,FALSE
10,18,1,9,85,0,0.977011,0.555556,19.5,1,0.5,FALSE
10,15,1,9,64,0,0.966667,0.555556,14.25,1,0.5,FALSE
2,15,0,2,59,0.75,0,0.5,10,1,0.6,FALSE
12,13,6,6,39,0,0.6,0.444444,5.5,2,0.8333,FALSE
15,49,2,15,209,1,0.886792,0.5,28.571429,2,1,FALSE
21,35,0,21,132,0,0.8,0.666667,64,1,0.5,FALSE
1,5,0,1,22,0,0,0,12,0,0,FALSE
11,17,0,11,79,0,0.875,0.625,38.5,7,3.5,FALSE
7,18,0,7,49,0,0.990099,1,23.5,1,0.5,FALSE
0,0,0,0,8,0,0,0,0,0,0,FALSE
3,9,1,2,28,1,0.962963,0.65,4.4,1,0.2,FALSE
3,1,2,1,9,0,0,1,0,1,1,FALSE
25,25,2,23,89,0,0.892857,0.666667,16.2,1,0.6,FALSE
17,29,0,17,100,0,0,0.666667,48.5,3,1.5,FALSE
9,9,0,9,30,0,0.8,0.666667,14,1,0.5,FALSE
16,32,5,15,158,0.6,0.950495,0.5,24.5,4,1.3333,FALSE
9,14,0,9,43,0,0.6,0.44,7.4,2,1,FALSE
17,24,0,17,92,0,0.5,0.47619,29.666667,1,0.6667,FALSE
1,23,0,1,150,0.666667,0.393939,0.345238,5.272727,1,0.9091,FALSE
11,7,0,11,22,0,0.857143,0.625,10,1,0.5,FALSE
68,108,57,13,1267,0.909091,0.351351,0.16,23.627451,11,1.8627,FALSE
23,25,0,23,89,0,0.892857,0.666667,16.2,1,0.6,FALSE
8,7,0,8,20,0,0.875,0.625,9,1,0.5,FALSE
20,17,7,13,58,0,0.875,0.666667,10,1,0.6,FALSE
12,32,0,12,180,0.333333,0.9,0.466667,43.25,8,2.25,FALSE
4,7,0,4,29,0,0.970588,0.625,8,2,0.6667,FALSE
8,8,2,6,22,0,0.96,0.666667,10,2,1,FALSE
21,26,0,21,105,0,0.875,0.625,51.5,2,1,FALSE
14,23,0,14,199,0.6,0.9,0.5,63.666667,2,1,FALSE
5,18,0,5,85,1,0.866667,0.555556,19.5,6,2.5,FALSE
12,8,0,12,34,0,0.857143,0.6,16,2,1,FALSE
21,35,0,21,132,0,0.8,0.666667,64,1,0.5,FALSE
5,9,2,3,32,0,0,0.583333,7,1,0.75,FALSE
11,16,1,10,55,0,0.857143,0.733333,7.666667,2,0.8333,FALSE
0,5,0,0,17,0,0,0,12,0,0,FALSE
4,10,1,3,46,0,0.888889,0.5,14.333333,4,2.6667,FALSE
2,4,2,0,4,0,0,0.625,0,1,1,FALSE
17,19,0,17,169,0,0.888889,0.666667,83.5,1,0.5,FALSE
7,10,0,7,40,0,0.96,0.666667,19,1,0.5,FALSE
7,3,4,3,3,0,0,0.541667,0,1,1,FALSE
15,21,0,15,76,0,0.923077,0.555556,17.25,1,0.5,FALSE
14,5,7,7,15,0,0.666667,0.583333,4,1,0.6667,FALSE
17,25,1,16,166,0.25,0.818182,0.47619,18.75,4,1.375,FALSE
3,17,1,3,58,0.5,0,0.666667,17.666667,3,1,FALSE
0,0,0,0,4,0,0,0,0,0,0,FALSE
14,17,1,13,60,0,0.875,0.666667,10.4,1,0.6,FALSE
5,14,0,5,58,0.5,0,0.5,17.666667,1,0.3333,FALSE
11,17,2,10,403,0.105263,0,0.416667,95,3,1.5,FALSE
12,17,0,12,68,0,0.892857,0.666667,12,1,0.6,FALSE
38,79,7,31,671,0.112245,0.615385,0.1875,32.705882,5,1.9412,FALSE
17,22,0,17,80,0,0.857143,0.625,39,1,0.5,FALSE
21,23,10,11,86,0.333333,0.944444,0.533333,19.75,3,1,FALSE
13,18,1,12,88,0.666667,0.846154,0.5,26.333333,2,1,FALSE
28,76,0,28,702,0.083333,0.657143,0.298077,52.076923,9,1.8462,FALSE
5,43,0,5,191,0.5,0.769231,0.166667,9.388889,5,1.2778,FALSE
13,22,0,13,66,0,0,0.666667,32,3,1.5,FALSE
3,10,1,2,46,0,0.989796,1,22,1,0.5,FALSE
1,9,0,1,35,0,0.955224,1,7.75,1,0.75,FALSE
4,1,3,1,1,0,0,1,0,1,1,FALSE
2,1,1,1,1,0,0,1,0,1,1,FALSE
7,13,0,7,49,0,0.8,0.666667,23.5,3,1.5,FALSE
10,24,2,8,102,0.25,0.955556,0.666667,23.5,2,0.75,FALSE
3,9,1,2,28,1,0.962963,0.65,4.4,1,0.2,FALSE
10,16,0,10,59,0,0.875,0.625,28.5,3,1.5,FALSE
10,79,1,10,662,0.857143,0.472727,0.197581,19.46875,5,1.5625,FALSE
15,18,1,14,63,1,0.878788,0.55,11.2,5,1.6,FALSE
13,49,10,3,647,0.5,0,0.4,106.5,15,6.6667,FALSE
11,15,2,9,58,0,0.96875,0.555556,12.75,1,0.5,FALSE
19,23,0,19,92,0,0.875,0.666667,16.8,1,0.6,FALSE
17,19,1,16,75,0,0.88,0.666667,13.4,1,0.6,FALSE
9,95,4,7,759,0.923077,0.204082,0.178125,17.195122,3,1.3415,FALSE
14,20,1,13,75,0,0.959184,0.555556,17,1,0.5,FALSE
5,11,1,4,36,1,0.857143,0.75,16,1,0.5,FALSE
15,12,0,15,38,0,0.857143,0.6,18,2,1,FALSE
2,1,2,0,1,0,0,1,0,1,1,FALSE
